background,"background(n.)背景、經歷
back(n.)後面、背部
ground(n.)地面、土地
family background 家庭背景
educational background 教育程度
The mountains provided a stunning background for the photo.
(群山為這張照片提供了絕佳的背景。)
His educational background makes him a perfect fit for the job.
(他的教育背景使他非常適合這份工作。)"
bacteria,"bacteria(n.)細菌 (單數為 bacterium)
bacterial(adj.)細菌的
virus(n.)病毒
harmful bacteria 有害細菌
bacterial infection 細菌感染
Some bacteria are actually beneficial to human health.
(有些細菌實際上對人類健康是有益的。)
Always wash your hands to get rid of bacteria before eating.
(進食前務必洗手以清除細菌。)"
baggage,"baggage(n.)行李 (不可數名詞)
luggage(n.)行李
bag(n.)袋子、提包
excess baggage 超重行李
claim one's baggage 領取行李
How many pieces of baggage are you checking in?
(您要托運幾件行李？)
The airline lost all of my baggage during the flight.
(航空公司在飛行過程中弄丟了我所有的行李。)"
bare,"bare(adj.)裸的、光禿禿的
barely(adv.)僅僅、幾乎不
naked(adj.)裸體的
bare feet 赤腳
with one's bare hands 徒手
He walked across the hot sand with bare feet.
(他赤著腳走過發燙的沙地。)
The room was bare except for a single wooden chair.
(房間裡除了一張木椅外什麼也沒有。)"
barely,"barely(adv.)僅僅、幾乎不
bare(adj.)裸的
scarcely(adv.)幾乎不
barely enough 僅夠
barely survive 勉強生存
I could barely see the road through the thick fog.
(透過濃霧，我幾乎看不清道路。)
She had barely enough money to pay for the bus fare.
(她的錢僅夠支付公車費。)"
benefit,"benefit(n.)利益、好處 (v.)有益於
beneficial(adj.)有益的
profit(n.)利潤、利益
mutual benefit 互利
benefit from... 從...中獲益
One of the benefits of exercise is better sleep.
(運動的好處之一是睡眠品質會變好。)
The new law will benefit many low-income families.
(這項新法律將使許多低收入家庭受益。)"
bitter,"bitter(adj.)苦的、嚴酷的、怨恨的
bitterly(adv.)極其、苦澀地
sweet(adj.)甜的
a bitter pill to swallow 難以接受的事實
bitter cold 嚴寒
This medicine has a very bitter taste.
(這種藥的味道非常苦。)
They had a bitter argument over the money.
(他們為了錢發生了激烈的爭吵。)"
bless,"bless(v.)保佑、祝福
blessing(n.)祝福、幸事
curse(v.)詛咒
God bless you. 上帝保佑你。
be blessed with... 天生具有...
She was blessed with a beautiful singing voice.
(她天生擁有一副美妙的歌喉。)
May God bless your family with health and happiness.
(願上帝保佑你的家人健康幸福。)"
bold,"bold(adj.)大膽的、勇敢的
boldly(adv.)大膽地
brave(adj.)勇敢的
a bold move 大膽的舉動
bold colors 鮮豔的顏色
It was a bold decision to quit his job and start a business.
(辭掉工作去創業是一個大膽的決定。)
The artist used bold lines to express strong emotions.
(藝術家使用粗大的線條來表達強烈的情感。)"
budget,"budget(n.)預算 (v.)編列預算
economical(adj.)節省的
expense(n.)費用
on a tight budget 預算吃緊
within budget 在預算之內
We need to plan our travel budget carefully.
(我們需要仔細規劃旅遊預算。)
The project was completed on time and within budget.
(該專案準時且在預算內完成。)"
bacon,"bacon(n.)培根、燻豬肉
pork(n.)豬肉
ham(n.)火腿
bring home the bacon 養家糊口
eggs and bacon 培根蛋
I love the smell of frying bacon in the morning.
(我喜歡早晨煎培根的味道。)
He added some crispy bacon to his salad.
(他在沙拉裡加了一些脆培根。)"
