keyboard,"keyboard(n.)鍵盤
wireless keyboard 無線鍵盤
type on the keyboard 在鍵盤上打字
I need a new keyboard for my computer.
(我需要一個新的電腦鍵盤)
She practiced the keyboard for two hours.
(她練習電子琴兩個小時。)"
kidney,"kidney(n.)腎臟
kidney failure 腎衰竭
kidney stone 腎結石
The patient is waiting for a kidney transplant.
(這名患者正在等待腎臟移植。)
Water is essential for healthy kidney function.
(水對於健康的腎功能至關重要。)"
kilometer,"kilometer(n.)公里
a few kilometers away 幾公里外
speed per kilometer 每公里時速
The nearest town is ten kilometers from here.
(最近的小鎮離這裡十公里。)
We walked five kilometers along the beach.
(我們沿著海灘走了五公里。)"
kindergarten,"kindergarten(n.)幼兒園
go to kindergarten 上幼兒園
a kindergarten teacher 幼兒園老師
My son will start kindergarten this September.
(我兒子今年九月要上幼兒園。)
She has many fond memories of kindergarten.
(她對幼兒園有很多美好的回憶。)"
kingdom,"kingdom(n.)王國、界
animal kingdom 動物界
the United Kingdom 英國
The brave knight served his kingdom well.
(勇敢的騎士為他的王國效力。)
Lion is often called the king of the animal kingdom.
(獅子常被稱為動物界之王。)"
kit,"kit(n.)成套工具、裝備
first-aid kit 急救箱
tool kit 工具組
Every car should have a first-aid kit.
(每輛車都應該配備一個急救箱。)
The player checked his football kit before the game.
(球員在比賽前檢查了他的足球裝備。)"
knight,"knight(n.)騎士、武士
medieval knight 中世紀騎士
knight in shining armor 穿著閃亮盔甲的騎士
The story is about a brave knight and a dragon.
(這個故事是關於一位勇敢的騎士和一條龍。)
He was dubbed a knight for his services to the country.
(他因對國家的貢獻而被封為騎士。)"
knit,"knit(v./n.)編織、針織
knit a sweater 編織毛衣
tightly knit 緊密結合的
My grandmother taught me how to knit.
(我祖母教我如何編織。)
She spent the afternoon knitting a scarf.
(她花了一個下午編織圍巾。)"
knot,"knot(n./v.)結、打結
tie a knot 打結
untie the knot 解開結
He tied a secure knot in the rope.
(他在繩子上打了一個牢固的結。)
She had a knot of anxiety in her stomach.
(她心裡感到一陣焦慮。)"
koala,"koala(n.)無尾熊
koala bear 無尾熊
Australian koala 澳洲無尾熊
Koalas are unique animals found in Australia.
(無尾熊是澳洲特有的動物。)
The baby koala clung to its mother's back.
(無尾熊寶寶緊緊抱著媽媽的背。)"
label,"label(n./v.)標籤、貼標籤
price label 價格標籤
warning label 警告標籤
Check the label for washing instructions.
(查看標籤上的洗滌說明。)
She carefully labeled each box with its contents.
(她仔細地在每個箱子上標註內容物。)"
lace,"lace(n./v.)蕾絲、鞋帶、繫帶
shoe laces 鞋帶
lace curtain 蕾絲窗簾
Her dress was decorated with delicate white lace.
(她的裝飾著精緻的白色蕾絲。)
He bent down to tie his laces.
(他彎下腰繫鞋帶。)"
ladder,"ladder(n.)梯子
climb a ladder 爬梯子
step ladder 摺疊梯
He used a ladder to paint the ceiling.
(他用梯子漆天花板。)
She is slowly moving up the career ladder.
(她正在職業生涯的階梯上慢慢晉升。)"
lately,"lately(adv.)最近、近來
late(adj./adv.)遲的、晚的
until lately 直到最近
haven't seen him lately 最近沒見到他
I haven't been feeling very well lately.
(我最近感覺不太舒服。)
Have you watched any good movies lately?
(你最近有沒有看過什麼好電影？)"
laughter,"laughter(n.)笑、笑聲
laugh(v./n.)笑
burst into laughter 突然大笑
roars of laughter 哄堂大笑
Laughter is often said to be the best medicine.
(笑聲常被說是最好的良藥。)
The room was filled with the sound of laughter.
(房間裡充滿了笑聲。)"
laundry,"laundry(n.)待洗衣物、洗衣店
do the laundry 洗衣服
laundry detergent 洗衣精
I have a huge pile of laundry to do.
(我有一大堆衣服要洗。)
She sent her suits to the laundry.
(她把西裝送到洗衣店。)"
lawn,"lawn(n.)草坪、草地
mow the lawn 割草
lawn mower 割草機
The children were playing on the front lawn.
(孩子們在前院草坪上玩耍。)
We sat on the lawn and had a picnic.
(我們坐在草地上野餐。)"
leak,"leak(n./v.)漏、洩漏
leaky(adj.)漏的
gas leak 瓦斯外洩
leak information 洩漏資訊
The roof has a small leak.
(屋頂有個小漏水點。)
Secret documents were leaked to the press.
(機密文件被洩漏給了媒體。)"
leap,"leap(n./v.)跳躍
leap year 閏年
a giant leap 巨大的進展
The cat leaped onto the table.
(貓跳到了桌子上。)
This discovery is a major leap forward for science.
(這項發現是科學的一大飛躍。)"
learning,"learning(n.)學習、學問
learn(v.)學習
distance learning 遠距學習
learning process 學習過程
Learning a new language takes a lot of time.
(學習一門新語言需要很多時間。)
He is a man of great learning.
(他是個學問淵博的人。)"
leather,"leather(n.)皮革
leather jacket 皮夾克
genuine leather 真皮
She bought an expensive leather handbag.
(她買了一個昂貴的皮包。)
The car seats are made of high-quality leather.
(汽車座椅是由高品質皮革製成的。)"
leisure,"leisure(n.)閒暇、空閒
leisurely(adj./adv.)悠閒的
at leisure 有空時
leisure activities 休閒活動
What do you like to do in your leisure time?
(你空閒時間喜歡做什麼？)
The park provides a space for leisure and relaxation.
(公園提供了休閒和放鬆的空間。)"
lemonade,"lemonade(n.)檸檬水
lemon(n.)檸檬
homemade lemonade 自製檸檬水
a glass of lemonade 一杯檸檬水
Would you like some cold lemonade?
(你想喝點冰檸檬水嗎？)
We sold lemonade on the sidewalk last summer.
(去年夏天我們在路邊賣檸檬水。)"
leopard,"leopard(n.)豹
snow leopard 雪豹
leopard spots 豹紋
The leopard is a very fast and agile hunter.
(豹是一種非常快速且敏捷的獵人。)
A leopard cannot change its spots.
(江山易改，本性難移。)"
lettuce,"lettuce(n.)萵苣、生菜
lettuce leaf 萵苣葉
crisp lettuce 清脆的萵苣
I'd like a chicken sandwich with extra lettuce.
(我想要一份多加萵苣的雞肉三明治。)
Wash the lettuce thoroughly before making the salad.
(做沙拉前要徹底清洗萵苣。)"
liberty,"liberty(n.)自由
liberal(adj.)自由主義的、慷慨的
liberate(v.)解放
the Statue of Liberty 自由女神像
religious liberty 宗教自由
The people fought for their liberty.
(人民為他們的自由而戰。)
You are at liberty to leave at any time.
(你可以隨時自由離開。)"
lick,"lick(v./n.)舔
lick a lollipop 舔棒棒糖
lick one's lips 舔嘴唇
The dog licked my hand.
(那隻狗舔了我的手。)
She took a quick lick of the ice cream.
(她快快地舔了一下冰淇淋。)"
lifetime,"lifetime(n.)一生、終身
life(n.)生命
a lifetime of experience 一生的經驗
once-in-a-lifetime chance 千載難逢的機會
She spent a lifetime studying ancient history.
(她花了一輩子的時間研究古代歷史。)
This is a once-in-a-lifetime opportunity.
(這是一個千載難逢的機會。)"
lighthouse,"lighthouse(n.)燈塔
light(n./v.)光、點燃
house(n.)房子
lighthouse keeper 燈塔管理員
beam of a lighthouse 燈塔的光束
The lighthouse guides ships safely to the shore.
(燈塔引導船隻安全靠岸。)
We visited an old lighthouse on the coast.
(我們參觀了岸邊的一座舊燈塔。)"
lightning,"lightning(n.)閃電
light(n./v.)光、照亮
thunder and lightning 打雷閃電
struck by lightning 被閃電擊中
A flash of lightning lit up the sky.
(一道閃電照亮了天空。)
Lightning never strikes the same place twice.
(閃電不會兩次擊中同一個地方。)"
lily,"lily(n.)百合花
water lily 睡蓮
lily of the valley 谷中百合
The white lily is a symbol of purity.
(白百合是純潔的象徵。)
She planted lilies in her garden.
(她在花園裡種了百合花。)"
limb,"limb(n.)肢、臂、腿、大樹枝
upper limbs 上肢
an injured limb 受傷的肢體
He felt a numbness in his limbs.
(他感到四肢麻木。)
The storm broke several heavy limbs off the tree.
(暴風雨折斷了樹上的幾根粗大樹枝。)"
litter,"litter(n./v.)垃圾、亂丟垃圾
pick up litter 撿垃圾
litter bug 亂丟垃圾的人
Don't drop litter on the street.
(不要在街上亂丟垃圾。)
The floor was littered with old newspapers.
(地板上到處都是舊報紙。)"
lively,"lively(adj.)活潑的、輕快的
live(v./adj.)生活、活的
life(n.)生命
lively music 輕快的音樂
lively debate 熱烈的辯論
She is a very lively and outgoing child.
(她是一個非常活潑外向的孩子。)
The party became more lively after he arrived.
(他到達後派對變得更加熱鬧。)"
loaf,"loaf(n.)一條(麵包)
a loaf of bread 一條麵包
meat loaf 烘肉餅
I bought two loaves of fresh bread.
(我買了兩條新鮮麵包。)
Can you slice this loaf for me?
(你能幫我切這條麵包嗎？)"
lobby,"lobby(n.)大廳、遊說團體
hotel lobby 飯店大廳
lobby group 遊說團體
I'll meet you in the hotel lobby at six.
(我六點在飯店大廳跟你見面。)
They are lobbying the government for better schools.
(他們正在遊說政府以爭取更好的學校。)"
locate,"locate(v.)位於、找出
location(n.)位置
local(adj.)當地的
be located in 位於
easily locate 容易找到
The company decided to locate its office in Taipei.
(公司決定將辦公室設在台北。)
We are trying to locate the source of the sound.
(我們正試圖找出聲音的來源。)"
location,"location(n.)位置、地點
locate(v.)位於
local(adj.)當地的
ideal location 理想地點
on location 在外景地
The hotel is in a perfect location near the beach.
(這家飯店地理位置優越，靠近海灘。)
The film was shot on location in Japan.
(這部電影是在日本實地拍攝的。)"
lock,"lock(n./v.)鎖、上鎖
lock the door 鎖門
pick a lock 開鎖
Don't forget to lock your car.
(別忘了鎖車。)
She put the jewelry in a box with a lock.
(她把珠寶放在一個有鎖的盒子裡。)"
log,"log(n./v.)原木、記錄
log cabin 原木小屋
daily log 日誌
They sat on a fallen log to rest.
(他們坐在一根倒下的木頭上休息。)
The pilot kept a log of the flight.
(飛行員記錄了飛行日誌。)"
lollipop,"lollipop(n.)棒棒糖
strawberry lollipop 草莓棒棒糖
lick a lollipop 舔棒棒糖
The little girl was happy with her lollipop.
(那個小女孩拿著棒棒糖很開心。)
He bought a big colorful lollipop at the fair.
(他在市集買了一個巨大的彩色棒棒糖。)"
loose,"loose(adj.)鬆的、寬鬆的
loosen(v.)鬆開
loosely(adv.)鬆散地
loose clothing 寬鬆的衣服
come loose 變鬆
One of my buttons is loose.
(我的一顆鈕扣鬆了。)
She likes to wear loose clothes in summer.
(她夏天喜歡穿寬鬆的衣服。)"
lord,"lord(n.)領主、大人、上帝
landlord(n.)房東
the House of Lords 英國上議院
Praise the Lord! 讚美主！
The lord lived in a large castle on the hill.
(領主住在山上的一座大城堡裡。)
He was treated like a lord.
(他受到了像大人般的待遇。)"
loser,"loser(n.)失敗者
lose(v.)輸、丟失
loss(n.)損失
bad loser 輸不起的人
sore loser 輸了就生氣的人
There are no winners or losers in this game.
(這場比賽沒有輸贏。)
He didn't want to be seen as a loser.
(他不想被看作是一個失敗者。)"
lover,"lover(n.)愛好者、情人
love(v./n.)愛
lovely(adj.)可愛的
music lover 音樂愛好者
nature lover 大自然愛好者
She is a great lover of modern art.
(她是現代藝術的忠實愛好者。)
The two lovers walked hand in hand.
(這對戀人手牽手走著。)"
luggage,"luggage(n.)行李
hand luggage 手提行李
excess luggage 超重行李
We left our luggage at the hotel.
(我們把行李留在了飯店。)
How many pieces of luggage do you have?
(你有幾件行李？)"
lung,"lung(n.)肺
lung cancer 肺癌
iron lung 人工呼吸器
Smoking can cause serious damage to your lungs.
(吸菸會對你的肺部造成嚴重損害。)
He took a deep breath, filling his lungs with air.
(他深吸一口氣，讓肺部充滿空氣。)"
