aboard,"aboard(prep./adv.)在(船、飛機、車)上
(無詞性變化)
go aboard 上船/飛機/車
welcome aboard 歡迎搭乘
Welcome aboard Flight 802 to New York.
(歡迎搭乘前往紐約的 802 班次。)
The passengers are already aboard the ship.
(乘客們已經在船上了。)"
acceptable,"acceptable(adj.)可接受的、滿意的
accept(v.)接受
acceptance(n.)接受、承認
socially acceptable 社會可接受的
acceptable behavior 可接受的行為
We are looking for a solution that is acceptable to everyone.
(我們正在尋找一個大家都能接受的解決方案。)
His performance was acceptable, but not outstanding.
(他的表現尚可，但並不傑出。)"
accurate,"accurate(adj.)準確的、精確的
accuracy(n.)準確性
accurately(adv.)準確地
accurate information 準確的資訊
highly accurate 高度精確的
Scientists need to provide accurate data for the experiment.
(科學家需要為實驗提供準確的數據。)
The report gives an accurate account of what happened.
(這份報告準確地描述了發生的事情。)"
ache,"ache(n./v.)疼痛
headache(n.)頭痛
toothache(n.)牙痛
stomach ache 胃痛
muscle ache 肌肉痠痛
My legs ache after walking all day.
(走了一整天路後，我的腿很痠痛。)
He has a dull ache in his shoulder.
(他的肩膀隱隱作痛。)"
achieve(ment),"achieve(v.)達成、achievement(n.)成就
achievable(adj.)可達成的
achieve a goal 達成目標
sense of achievement 成就感
You can achieve anything if you work hard enough.
(如果你夠努力，你可以達成任何事。)
Winning the gold medal was a great achievement.
(贏得金牌是一項偉大的成就。)"
additional,"additional(adj.)附加的、額外的
addition(n.)增加、加法
add(v.)增加、添加
additional information 額外資訊
additional costs 額外費用
We need additional information before making a decision.
(我們在做決定之前需要額外的資訊。)
There will be an additional charge for delivery.
(運送將會收取額外費用。)"
admire,"admire(v.)欽佩、欣賞
admiration(n.)欽佩、仰慕
admirable(adj.)令人欽佩的
admire someone for something 因某事欽佩某人
admire the view 欣賞風景
I really admire him for his courage.
(我真的很佩服他的勇氣。)
They stopped to admire the sunset.
(他們停下來欣賞日落。)"
advanced,"advanced(adj.)先進的、高等的
advance(v./n.)進步、前進
advancement(n.)前進、提升
advanced technology 先進科技
advanced level 高階程度
The hospital uses advanced methods to treat patients.
(這間醫院使用先進的方法來治療病人。)
She is taking an advanced English course this semester.
(她這學期選修了高階英文課程。)"
advantage,"advantage(n.)優點、優勢
advantageous(adj.)有利的
take advantage of 利用、佔便宜
have an advantage 具有優勢
Being tall is a great advantage in basketball.
(長得高在籃球運動中是一大優勢。)
He took advantage of the good weather to go hiking.
(他趁著天氣好去健行。)"
adventure,"adventure(n.)冒險
adventurous(adj.)愛冒險的
adventurer(n.)冒險家
sense of adventure 冒險精神
outdoor adventure 戶外冒險
They went on an adventure in the Amazon rainforest.
(他們去亞馬遜雨林進行了一場冒險。)
Traveling alone in a foreign country is a real adventure.
(獨自在外國旅行是一場真正的冒險。)"
advertise(ment)/ad,"advertise(v.)登廣告、advertisement(n.)廣告
advertiser(n.)廣告商
advertising(n.)廣告業
advertise a product 為產品打廣告
place an advertisement 刊登廣告
They advertise their new products on television.
(他們在電視上為新產品打廣告。)
I saw an ad for a cheap flight to Japan.
(我看到一張去日本廉價機票的廣告。)"
advise,"advise(v.)建議、忠告
advice(n.)建議、忠告
advisor(n.)顧問、指導老師
advise someone to do something 建議某人做某事
advise against 建議不要...
I would advise you to see a doctor immediately.
(我會建議你立即去看醫生。)
My teacher advised me against skipping classes.
(老師建議我不要翹課。)"
adviser/advisor,"adviser/advisor(n.)顧問、指導老師
advise(v.)建議
advice(n.)建議
legal adviser 法律顧問
financial advisor 財務顧問
He works as a technical adviser for the government.
(他在政府擔任技術顧問。)
You should talk to your academic advisor about your grades.
(你應該和你的學業指導老師談談你的成績。)"
afford,"afford(v.)負擔得起
affordable(adj.)負擔得起的
can afford to do something 負擔得起做某事
afford the cost 負擔費用
I can't afford to buy a new car right now.
(我現在負擔不起買新車。)
We can't afford to lose any more time.
(我們不能再浪費任何時間了。)"
afterward/afterwards,"afterward/afterwards(adv.)之後、後來
(無明顯詞性變化)
shortly afterward 不久之後
soon afterward 很快地之後
They went to the movie and had dinner afterward.
(他們去看電影，之後去吃晚餐。)
We met for coffee, and she left shortly afterwards.
(我們見面喝咖啡，不久後她就離開了。)"
agriculture,"agriculture(n.)農業
agricultural(adj.)農業的
modern agriculture 現代農業
organic agriculture 有機農業
Most of the people in this area depend on agriculture.
(這個地區的大多數人依靠農業維生。)
Advances in agriculture have increased food production.
(農業的進步增加了糧食產量。)"
airline,"airline(n.)航空公司
(無明顯詞性變化)
airline industry 航空業
international airline 國際航空公司
Which airline are you flying with to Paris?
(你搭哪家航空公司去巴黎？)
The airline offers direct flights to many major cities.
(這家航空公司提供直飛許多主要城市的航班。)"
alley,"alley(n.)小巷、弄、胡同
(無明顯詞性變化)
bowling alley 保齡球館
narrow alley 狹窄的小巷
The thief disappeared into a dark alley.
(小偷消失在一條黑暗的小巷裡。)
Our house is located in a quiet alley behind the park.
(我們的房子位於公園後方的一條安靜小巷裡。)"
almond,"almond(n.)杏仁
(無明顯詞性變化)
almond milk 杏仁奶
toasted almonds 烤杏仁
She added some sliced almonds to the salad.
(她在沙拉裡加了一些杏仁片。)
Almonds are a healthy source of protein.
(杏仁是健康的蛋白質來源。)"
alphabet,"alphabet(n.)字母表
alphabetical(adj.)字母順序的
alphabetically(adv.)按字母順序地
English alphabet 英文字母表
in alphabetical order 依字母順序
There are 26 letters in the English alphabet.
(英文字母表中有 26 個字母。)
The books are arranged on the shelf in alphabetical order.
(書架上的書是按字母順序排列的。)"
amaze(ment),"amaze(v.)使驚奇、amazement(n.)驚奇
amazing(adj.)令人驚奇的
amazed(adj.)感到驚奇的
to one's amazement 令某人驚奇的是
look in amazement 驚訝地看著
To my amazement, he finished the work in ten minutes.
(令我驚訝的是，他在十分鐘內完成了工作。)
She stared at the scene in total amazement.
(她完全驚訝地盯著那個場景。)"
ambassador,"ambassador(n.)大使
embassy(n.)大使館
ambassador to ... 派駐於...的大使
goodwill ambassador 親善大使
He was appointed as the British ambassador to Japan.
(他被任命為英國駐日本大使。)
She serves as a goodwill ambassador for the UN.
(她擔任聯合國的親善大使。)"
ambition,"ambition(n.)抱負、野心
ambitious(adj.)有野心的、抱負不凡的
career ambition 事業抱負
fulfill an ambition 實現抱負
His main ambition is to become a famous actor.
(他的主要抱負是成為一名著名的演員。)
She has the ambition to start her own company.
(她有創辦自己公司的抱負。)"
ambulance,"ambulance(n.)救護車
(無明顯詞性變化)
call an ambulance 叫救護車
ambulance crew 救護人員
Someone call an ambulance! There's been an accident.
(有人快叫救護車！發生事故了。)
The ambulance arrived at the scene within minutes.
(救護車在幾分鐘內就到達了現場。)"
angel,"angel(n.)天使
angelic(adj.)天使般的
guardian angel 守護天使
like an angel 像天使一樣
She has the voice of an angel.
(她擁有天使般的嗓音。)
Thank you for helping me; you are a real angel.
(謝謝你幫助我；你真是個天使。)"
announce(ment),"announce(v.)宣佈、announcement(n.)宣佈、公告
announcer(n.)播報員、宣告者
make an announcement 做出宣佈
announce a plan 宣佈一項計畫
The government will announce the new policy tomorrow.
(政府明天將宣佈新政策。)
The headmaster made an important announcement during the assembly.
(校長在集會期間做出了一項重要宣佈。)"
anxious,"anxious(adj.)焦慮的、渴望的
anxiety(n.)焦慮
anxiously(adv.)焦慮地
anxious about 對...感到焦慮
feel anxious 感到焦慮
Parents are often anxious about their children's future.
(父母經常對孩子的未來感到焦慮。)
She was anxious to finish the project on time.
(她渴望能準時完成這項企劃。)"
anyhow,"anyhow(adv.)無論如何、總之
(無明顯詞性變化)
get there anyhow 無論如何到達那裡
do it anyhow 無論如何都要做
It might rain, but we are going anyhow.
(可能會下雨，但我們無論如何都要去。)
Anyhow, let's forget about the past and move on.
(總之，讓我們忘記過去，繼續前進吧。)"
apart,"apart(adv.)分開地、相隔地
(無明顯詞性變化)
fall apart 破碎、倒塌
tell them apart 分辨他們
The two houses are built 500 meters apart.
(這兩棟房子相隔 500 公尺。)
The toy came apart after he dropped it.
(這個玩具在他摔到後就散架了。)"
apologize,"apologize(v.)道歉
apology(n.)道歉
apologetic(adj.)道歉的、愧疚的
apologize to someone 向某人道歉
apologize for something 為某事道歉
You should apologize to her for being late.
(你應該因為遲到向她道歉。)
He apologized for his rude behavior at the party.
(他為他在派對上的粗魯行為道歉。)"
appeal,"appeal(n./v.)吸引力、呼籲、上訴
appealing(adj.)有吸引力的
appeal to 吸引、向...呼籲
lose one's appeal 失去吸引力
The idea of working abroad appeals to many young people.
(在國外工作的想法吸引了許多年輕人。)
The police made an appeal for witnesses to the crime.
(警方呼籲該犯罪行為的目擊者提供資訊。)"
approve,"approve(v.)贊成、批准
approval(n.)贊同、批准
approve of 贊成、同意
approve the plan 批准計畫
My parents don't approve of me staying out late.
(我的父母不贊成我太晚回家。)
The committee finally approved the budget for next year.
(委員會終於批准了明年的預算。)"
apron,"apron(n.)圍裙
(無明顯詞性變化)
kitchen apron 廚房圍裙
wear an apron 穿圍裙
She put on her apron and started cooking dinner.
(她穿上圍裙開始煮晚餐。)
The baker's apron was covered in flour.
(麵包師傅的圍裙上沾滿了麵粉。)"
armed,"armed(adj.)武裝的、持械的
arms(n.)武器
arm(v.)武裝
armed forces 武裝部隊
armed robbery 持械搶劫
The guards were armed with guns.
(守衛配有槍枝。)
The armed forces are ready to defend the country.
(武裝部隊已準備好保衛國家。)"
arrest,"arrest(n./v.)逮捕
(無明顯詞性變化)
under arrest 被逮捕
arrest someone for 為...逮捕某人
The police arrested the man for stealing a car.
(警方因偷車逮捕了那名男子。)
He is currently under arrest and waiting for trial.
(他目前被捕並等待審判。)"
ash,"ash(n.)灰、灰燼
(無明顯詞性變化)
cigarette ash 煙灰
volcanic ash 火山灰
He tapped the cigarette ash into the tray.
(他把煙灰彈進托盤裡。)
The village was covered in volcanic ash after the eruption.
(噴發後，村莊被火山灰覆蓋。)"
aside,"aside(adv.)在旁邊、撇開
(無明顯詞性變化)
set aside 撥出、留出
step aside 讓位、避開
She set some money aside for her vacation.
(她存了一些錢準備度假用。)
Joking aside, we really need to finish this work.
(撇開玩笑不談，我們真的需要完成這項工作。)"
assist,"assist(v.)協助、幫助
assistance(n.)協助、幫助
assistant(n.)助手
assist someone with 協助某人某事
assist in doing 協助做某事
The computer program can assist you in translating texts.
(這個電腦程式可以協助你翻譯文本。)
We are here to assist you with your travel plans.
(我們在這裡協助您安排旅遊計畫。)"
assistant,"assistant(n.)助手、助理
assist(v.)協助
assistance(n.)協助
research assistant 研究助理
shop assistant 店員
She works as a personal assistant to the manager.
(她擔任經理的私人助理。)
Can I speak to the shop assistant for help?
(我可以找店員幫忙嗎？)"
assume,"assume(v.)假設、承擔
assumption(n.)假設
assume responsibility 承擔責任
assume that 假設...
I assume that you have already finished the report.
(我假設你已經完成了報告。)
He is willing to assume responsibility for the mistake.
(他願意為這個錯誤承擔責任。)"
athlete,"athlete(n.)運動員
athletic(adj.)體育的、運動健壯的
athletics(n.)田徑、體育運動
professional athlete 職業運動員
star athlete 明星運動員
He is a gifted athlete who excels in many sports.
(他是一位在許多運動項目上都很出色的天才運動員。)
Many young athletes dream of competing in the Olympics.
(許多運動員夢想能參加奧運。)"
attitude,"attitude(n.)態度
(無明顯詞性變化)
positive attitude 正面態度
attitude toward 對於...的態度
You need to change your negative attitude toward work.
(你需要改變你對工作的消極態度。)
She always maintains a positive attitude, even in difficult times.
(即使在困難時期，她也總是保持正面的態度。)"
attract,"attract(v.)吸引
attraction(n.)吸引力、景點
attractive(adj.)有吸引力的
attract attention 引起注意
attract tourists 吸引遊客
The bright lights attract insects at night.
(夜晚亮光會吸引昆蟲。)
The museum attracts thousands of visitors every year.
(這間博物館每年吸引數千名遊客。)"
attractive,"attractive(adj.)有吸引力的、迷人的
attract(v.)吸引
attraction(n.)吸引力、景點
attractive features 吸引人的特徵
highly attractive 很有吸引力的
She is an attractive woman with a great personality.
(她是一位非常有魅力且個性很好的女性。)
The company offers an attractive salary to new employees.
(這間公司為新員工提供優渥的薪水。)"
audience,"audience(n.)觀眾、聽眾
(無明顯詞性變化)
target audience 目標觀眾
live audience 現場觀眾
The singer performed in front of a large audience.
(這位歌手在大批觀眾面前表演。)
The audience cheered and clapped at the end of the show.
(演出結束時，觀眾歡呼並鼓掌。)"
automatic,"automatic(adj.)自動的
automatically(adv.)自動地
automatic doors 自動門
automatic system 自動系統
The car has an automatic transmission.
(這輛車有自動變速器。)
The lights go on and off through an automatic system.
(燈光透過自動系統開啟和關閉。)"
automobile/auto,"automobile/auto(n.)汽車
(無明顯詞性變化)
automobile industry 汽車產業
drive an automobile 開汽車
The invention of the automobile changed the way we travel.
(汽車的發明改變了我們旅行的方式。)
He works in a factory that manufactures automobile parts.
(他在一家製造汽車零件的工廠工作。)"
avenue,"avenue(n.)大道、管道
(無明顯詞性變化)
Fifth Avenue 第五大道
broad avenue 寬闊的大道
The hotel is located on a beautiful avenue lined with trees.
(這間飯店坐落在一條綠樹成蔭的美麗大道上。)
We are exploring every avenue to solve the problem.
(我們正嘗試各種管道來解決問題。)"
awake,"awake(adj./v.)醒著的、喚醒
awaken(v.)喚醒
stay awake 保持清醒
wide awake 完全清醒的
I was wide awake all night thinking about the exam.
(我想著考試的事情，整晚都清醒著。)
Is the baby awake yet?
(寶寶醒了嗎？)"
awaken,"awaken(v.)喚醒、意識到
awake(adj.)醒著的
awaken from a dream 從夢中醒來
awaken interest 引起興趣
The loud noise awakened me from a deep sleep.
(大聲的噪音把我從深睡中喚醒。)
His speech awakened our interest in environmental issues.
(他的演講喚起了我們對環境議題的興趣。)"
