icy,"icy(adj.)冰冷的、覆蓋著冰的
ice(n.)冰
icy water 冰冷的水
icy road 結冰的路面
The travelers were shivering in the icy wind.
(旅行者在冰冷的風中發抖。)
Drive carefully, as the roads are very icy this morning.
(開車要小心，因為今天早上的路面結冰很嚴重。)"
imagination,"imagination(n.)想像力
imagine(v.)想像
imaginative(adj.)富有想像力的
vivid imagination 豐富的想像力
beyond imagination 超出想像
You need a lot of imagination to write a good story.
(寫出好故事需要豐富的想像力。)
The beauty of the northern lights was beyond imagination.
(北極光之美超乎想像。)"
immediate,"immediate(adj.)立即的、直接的
immediately(adv.)立刻
immediate response 立即的反應
immediate family 直系親屬
The patient needs immediate medical attention.
(這位病人需要立即的醫療照護。)
He is my immediate supervisor at work.
(他是我工作上的直接主管。)"
import,"import(v./n.)進口、輸入
import goods 進口貨物
import trade 進口貿易
The country needs to import more food from abroad.
(該國需要從國外進口更多食物。)
The import of luxury cars has increased this year.
(今年豪華轎車的進口量有所增加。)"
impress,"impress(v.)使印象深刻
impression(n.)印象
impressive(adj.)令人印象深刻的
impress someone with 某事給某人留下印象
deeply impress 深深地留下印象
He tried to impress the teacher with his hard work.
(他試圖以他的努力給老師留下深刻印象。)
Her piano performance impressed everyone in the audience.
(她的鋼琴演奏讓全場觀眾印象深刻。)"
indoor,"indoor(adj.)室內的
indoors(adv.)在室內
indoor activities 室內活動
indoor swimming pool 室內游泳池
Many people prefer indoor sports during the winter.
(許多人冬天時偏好室內運動。)
The mall features a large indoor garden.
(這間購物中心內設有一座大型室內花園。)"
indoors,"indoors(adv.)在室內
indoor(adj.)室內的
stay indoors 待在室內
move indoors 移到室內
It started to rain, so we all went indoors.
(開始下雨了，所以我們都進到室內。)
He spends most of his free time indoors playing video games.
(他空閒時間大多待在室內玩電動遊戲。)"
industrial,"industrial(adj.)工業的
industry(n.)工業、行業
industrial zone 工業區
industrial revolution 工業革命
The city is an important industrial center for the country.
(這座城市是該國重要的工業中心。)
Many fish died due to industrial waste in the river.
(許多魚因為河裡的工業廢料而死亡。)"
inferior,"inferior(adj./n.)較差的、下級的、部下
inferiority(n.)自卑、下等
inferior to 比...差
feel inferior 感到自卑
This product is inferior to the one we bought last year.
(這件產品比我們去年買的那件差。)
He always makes his inferiors do all the dirty work.
(他總是讓他的下屬做所有的髒活。)"
inform,"inform(v.)通知、告知
information(n.)資訊
informative(adj.)提供資訊的
inform someone of something 通知某人某事
keep someone informed 隨時通知某人進度
Please inform me of any changes in the schedule.
(若行程有任何變動，請通知我。)
He was informed that he had won the first prize.
(他被告知他獲得了頭獎。)"
information,"information(n.)資訊、消息
inform(v.)告知
background information 背景資料
personal information 個人資訊
For more information, please visit our website.
(欲知更多資訊，請造訪我們的網站。)
The guide gave us some useful information about the museum.
(導覽員給了我們一些關於這座博物館的實用資訊。)"
injury,"injury(n.)傷害、受傷
injure(v.)使受傷
serious injury 嚴重的傷
escape injury 逃過受傷
He was lucky to escape injury in the car accident.
(他在這場車禍中幸運地逃過一劫。)
She suffered a knee injury during the basketball game.
(她在籃球賽中膝蓋受傷了。)"
inn,"inn(n.)小旅館、客棧
country inn 鄉村小旅館
stay at an inn 住在客棧
We stayed at a cozy inn during our trip to the mountains.
(我們去山區旅行時住在一間舒適的小旅館。)
The old inn has been serving travelers for over a hundred years.
(這間古老的客棧已經服務旅客超過一百年了。)"
