單字學習：aboard,"aboard (adv./prep.) 在船、飛機或車上

【詞性變化】
無

【搭配詞】
all aboard 請上船/機/車
go aboard 上（船、飛機等）

【例句】
All passengers are now aboard the plane.
(所有乘客現在都已登上飛機。)
Welcome aboard! We are glad to have you on our team.
(歡迎加入！我們很高興你能加入我們的團隊。)"
單字學習：acceptable,"acceptable (adj.) 可接受的、令人滿意的

【詞性變化】
accept (v.) 接受
acceptance (n.) 接受、贊同

【搭配詞】
socially acceptable 社會大眾可接受的
find something acceptable 覺得某事可以接受

【例句】
Is this price acceptable to you?
(這個價格你可以接受嗎？)
We need to find a solution that is acceptable to everyone.
(我們需要找到一個大家都能接受的解決方案。)"
單字學習：accurate,"accurate (adj.) 準確的、精確的

【詞性變化】
accuracy (n.) 準確性、精確度
accurately (adv.) 準確地

【搭配詞】
an accurate description 準確的描述
highly accurate 非常精確的

【例句】
The information you provided was not accurate.
(你提供的資訊不準確。)
Scientists need accurate data to reach the correct conclusion.
(科學家需要精確的數據才能得出正確的結論。)"
單字學習：ache,"ache (n./v.) 疼痛

【詞性變化】
achy (adj.) 疼痛的

【搭配詞】
backache (n.) 背痛
headache (n.) 頭痛

【例句】
My muscles ache after the long workout.
(長時運動後，我的肌肉感到酸痛。)
She has an ache in her left shoulder.
(她的左肩隱隱作痛。)"
單字學習：achieve,"achieve (v.) 完成、達到、實現

【詞性變化】
achievement (n.) 成就、功績
achievable (adj.) 可達成的

【搭配詞】
achieve a goal 達成目標
achieve success 獲得成功

【例句】
You can achieve anything if you work hard enough.
(只要你足夠努力，你可以實現任何目標。)
He finally achieved his dream of becoming a pilot.
(他終於實現了成為飛行員的夢想。)"
單字學習：additional,"additional (adj.) 額外的、附加的

【詞性變化】
addition (n.) 增加、加法
add (v.) 增加

【搭配詞】
additional costs 額外費用
additional information 補充資訊

【例句】
There will be an additional charge for this service.
(這項服務將收取額外費用。)
Please contact us if you need any additional help.
(如果您需要額外的幫助，請與我們聯繫。)"
單字學習：admire,"admire (v.) 欽佩、欣賞

【詞性變化】
admiration (n.) 欽佩、羨慕
admirable (adj.) 令人欽佩的

【搭配詞】
admire someone for something 因某事而欽佩某人
greatly admire 非常欣賞

【例句】
I really admire her courage and determination.
(我真的很佩服她的勇氣和決心。)
We stopped to admire the beautiful scenery.
(我們停下來欣賞美麗的風景。)"
單字學習：advanced,"advanced (adj.) 先進的、高級的

【詞性變化】
advance (v./n.) 前進、進展

【搭配詞】
advanced technology 先進技術
an advanced course 高階課程

【例句】
Japan is known for its advanced robotics.
(日本以其先進的機器人技術而聞名。)
This software is designed for advanced users.
(這款軟體是為進階用戶設計的。)"
單字學習：advantage,"advantage (n.) 優點、優勢

【詞性變化】
advantageous (adj.) 有利的

【搭配詞】
take advantage of 利用
have an advantage over 比...有優勢

【例句】
Being tall is a great advantage in basketball.
(長得高在籃球運動中是一大優勢。)
One of the advantages of living in a city is the convenience.
(住在城市的優點之一就是方便。)"
單字學習：adventure,"adventure (n.) 冒險、奇遇

【詞性變化】
adventurous (adj.) 愛冒險的

【搭配詞】
a sense of adventure 冒險精神
go on an adventure 去冒險

【例句】
The book tells the story of their adventures in the jungle.
(這本書講述了他們在叢林中冒險的故事。)
Life is either a daring adventure or nothing at all.
(生活要麼是大膽的冒險，要麼就什麼都不是。)"
