magical,"magical(adj.)魔幻的、神奇的
magic(n.)魔術、魔力；(adj.)神奇的
magical power 魔力
magical moment 奇幻時刻
The sunset provided a magical ending to our trip.
(夕陽為我們的旅程提供了一個不可思議的結局。)
Children often believe in magical creatures like fairies.
(孩童通常相信像仙女這樣的魔幻生物。)"
magician,"magician(n.)魔術師
magic(n.)魔術
world-class magician 世界級魔術師
street magician 街頭魔術師
The magician pulled a rabbit out of his hat.
(魔術師從他的帽子裡拉出了一隻兔子。)
Every child was amazed by the magician's clever tricks.
(每個孩子都對魔術師聰明的戲法感到驚訝。)"
magnet,"magnet(n.)磁鐵、具吸引力的人事物
magnetic(adj.)有磁性的、有吸引力的
fridge magnet 冰箱磁鐵
strong magnet 強力磁鐵
He used a magnet to collect all the fallen needles.
(他用磁鐵收集所有掉落的針。)
The beautiful island is a magnet for tourists in summer.
(這座美麗的島嶼在夏天是吸引遊客的勝地。)"
maid,"maid(n.)女僕、侍女
house maid 女傭
chamber maid 客房女服務生
The hotel maid changed the towels and cleaned the room.
(旅館女服務生更換了毛巾並清潔了房間。)
In old stories, the princess was always helped by her maid.
(在古老的故事中，公主總是得到她的侍女的幫助。)"
majority,"majority(n.)多數、大多數
major(adj.)主要的；(v.)主修
the vast majority 絕大多數
the majority of ... ...的大多數
The majority of the students agreed with the new rule.
(大多數學生都同意這項新規定。)
She won the election by a large majority.
(她以多數票贏得了選舉。)"
mall,"mall(n.)購物中心
shopping mall 購物中心
strip mall 帶狀購物中心
Let's go to the mall to buy some new clothes.
(我們去購物中心買些新衣服吧。)
The new mall has a large movie theater and many restaurants.
(這家新的購物中心有一個大型電影院和許多餐廳。)"
mankind/humankind,"mankind/humankind(n.)人類
the history of mankind 人類歷史
the future of humankind 人類的未來
Environmental pollution is a threat to all mankind.
(環境污染是對全人類的威脅。)
Space exploration is a great step for humankind.
(太空探索是人類的一大步。)"
marble,"marble(n.)大理石、彈珠
marble floor 大理石地板
play marbles 玩彈珠
The palace entrance is made of beautiful white marble.
(宮殿入口是由美麗的白色大理石製成的。)
The little boy carried a bag of colorful marbles.
(那個小男孩提著一袋五顏六色的彈珠。)"
march,"march(v./n.)行進、行軍、抗議遊行
protest march 抗議遊行
military march 軍事行軍
The soldiers had to march for many miles in the rain.
(士兵們不得不在雨中行軍好幾英里。)
Thousands of people joined the march for peace.
(數千人參加了爭取和平的遊行。)"
marker,"marker(n.)標記、麥克筆
mark(n.)標誌；(v.)標記
permanent marker 奇異筆/永久性麥克筆
dry-erase marker 白板筆
Use a red marker to highlight the important words.
(用紅色麥克筆標出重要的單字。)
The white stones were used as markers along the path.
(白色的石頭被用作小路旁的標記。)"
marvelous,"marvelous(adj.)絕佳的、了不起的
marvel(n.)奇蹟；(v.)驚嘆
marvelous weather 絕佳的天氣
marvelous achievement 了不起的成就
We had a marvelous time at the party last night.
(昨晚我們在派對上玩得很開心。)
The view from the mountain top was truly marvelous.
(從山頂看下去的景色真是絕佳。)"
mathematical,"mathematical(adj.)數學的
mathematics/math(n.)數學
mathematician(n.)數學家
mathematical formula 數學公式
mathematical skills 數學技能
Solving this problem requires high mathematical skills.
(解決這個問題需要高度的數學技能。)
She found a mathematical error in the final report.
(她在最終報告中發現了一個數學錯誤。)"
mayor,"mayor(n.)市長
elected mayor 民選市長
city mayor 市長
The mayor promised to build more parks in the city.
(市長承諾在城市裡建造更多公園。)
Many people went to the town hall to meet the mayor.
(許多人前往市政廳會見市長。)"
meadow,"meadow(n.)草地、牧場
green meadow 綠草地
mountain meadow 山間草地
The sheep were grazing peacefully in the green meadow.
(綿羊在綠色草地上平靜地吃草。)
Wildflowers covered the meadow in early spring.
(早春時分，野花鋪滿了這片草地。)"
meaningful,"meaningful(adj.)有意義的
meaning(n.)意義
mean(v.)意指；(adj.)刻薄的
meaningful conversation 有意義的對話
meaningful relationship 有意義的關係
He wants to do something meaningful for the community.
(他想為社區做一些有意義的事。)
We had a meaningful discussion about our future goals.
(我們針對未來的目標進行了一場有意義的討論。)"
