dairy,"dairy(n.)乳製品、乳酪店
dairy products 乳製品
dairy cattle 乳牛
I bought some fresh milk at the local dairy.
(我在當地的乳酪店買了一些新鮮牛奶。)
You should keep dairy products in the refrigerator.
(你應該將乳製品存放在冰箱裡。)"
dam,"dam(n./v.)水壩、築壩
build a dam 建造水壩
dam up 築壩攔水
The authorities decided to build a dam to prevent flooding.
(當局決定建造一座水壩以防止洪災。)
They dammed up the river to generate electricity.
(他們築壩攔截河流以發電。)"
dare,"dare(aux./v.)敢、竟敢
daring(adj.)大膽的
dare to do something 敢於做某事
how dare you 你怎麼敢
He didn't dare to look at her in the eye.
(他不敢直視她的眼睛。)
How dare you speak to me like that!
(你竟敢那樣跟我說話！)"
darling,"darling(n./adj.)親愛的人、親愛的
my darling 我親愛的
little darling 小寶貝
Happy birthday, my darling.
(生日快樂，我親愛的。)
She is such a darling little girl.
(她真是個討人喜歡的小女孩。)"
dash,"dash(n./v.)猛衝、破折號
make a dash 猛衝
dash to 衝向
He made a dash for the bus but missed it.
(他猛衝向公車但沒趕上。)
She had to dash to the office to pick up some files.
(她必須趕回辦公室拿一些文件。)"
database,"database(n.)資料庫
online database 線上資料庫
search a database 搜尋資料庫
We need to update the customer database regularly.
(我們需要定期更新客戶資料庫。)
You can find the information in our online database.
(你可以在我們的線上資料庫中找到這些資訊。)"
dawn,"dawn(n./v.)黎明、開始明白
at dawn 在黎明時分
from dawn to dusk 從早到晚
We set off at dawn to beat the traffic.
(我們在黎明出發以避開車潮。)
It slowly dawned on him that he had made a mistake.
(他慢慢開始意識到自己犯了個錯誤。)"
dealer,"dealer(n.)商人、業者
deal(v./n.)處理、交易
car dealer 汽車經銷商
drug dealer 毒販
My brother works as a car dealer in the city.
(我的哥哥在城裡擔任汽車經銷商。)
The police are looking for the local drug dealer.
(警察正在尋找當地的毒販。)"
decade,"decade(n.)十年
for decades 數十年來
over the last decade 在過去的十年中
The company has grown significantly over the last decade.
(這家公司在過去十年中顯著成長。)
He has lived in this small village for decades.
(他在這個小村莊住了幾十年。)"
deck,"deck(n.)甲板、一副牌
on deck 在甲板上
a deck of cards 一副牌
We stood on the deck and watched the sunset.
(我們站在甲板上觀看日落。)
He shuffled a deck of cards and started the game.
(他洗了一副牌並開始了遊戲。)"
decorate,"decorate(v.)裝飾
decoration(n.)裝飾物
decorate with 用...裝飾
decorate a room 佈置房間
They decorated the hall with colorful balloons.
(他們用彩色氣球裝飾了大廳。)
I want to decorate my room for the party.
(我想為了派對佈置我的房間。)"
decrease,"decrease(v./n.)減少
decrease in 在...方面減少
on the decrease 正在減少中
The population of the village is on the decrease.
(該村莊的人口正在減少中。)
We need to decrease the amount of waste we produce.
(我們需要減少我們產生的垃圾量。)"
