fade,"fade(v.)褪色、凋謝、逐漸消失
詞性變化：無
搭配詞：fade away (逐漸消失)
搭配詞：color fades (褪色)
She watched the sun fade behind the mountains.
(她看著太陽在山後逐漸消失。)
The color of the curtains will fade if they are in the sun.
(如果窗簾曬到太陽，顏色會褪色。)"
faint,"faint(adj./v./n.)微弱的、頭暈的、暈倒
詞性變化：無
搭配詞：faint smell (微弱的氣味)
搭配詞：feel faint (覺得快要暈倒)
There was a faint smell of smoke in the air.
(空氣中有一股微弱的煙味。)
She fainted from the heat after standing in the sun for an hour.
(在太陽下站了一個小時後，她因中暑而暈倒了。)"
fairly,"fairly(adv.)相當地、公正地
詞性變化：fair(adj.)公平的
搭配詞：fairly common (相當普遍)
搭配詞：treat fairly (公平對待)
The test was fairly difficult, but I think I passed.
(考試相當難，但我想我及格了。)
We should ensure that everyone is treated fairly.
(我們應該確保每個人都受到公平的對待。)"
fairy,"fairy(n./adj.)小仙子、神話的
詞性變化：無
搭配詞：fairy tale (童話故事)
搭配詞：tooth fairy (牙仙)
She told the children a fairy tale before they went to bed.
(她在孩子們睡覺前給他們講了一個童話故事。)
Do you believe in fairies living in the forest?
(你相信森林裡住著小仙子嗎？)"
faith,"faith(n.)信任、信念、宗教信仰
詞性變化：faithful(adj.)忠實的
搭配詞：have faith in (對...有信心)
搭配詞：lose faith (失去信心)
I have full faith in your ability to succeed.
(我對你成功的能力充滿信心。)
Her faith helped her through the most difficult times in her life.
(她的信仰幫助她度過了人生中最艱難的時期。)"
fake,"fake(adj./v./n.)偽造的、冒充、贗品
詞性變化：無
搭配詞：fake ID (假證件)
搭配詞：fake a smile (假裝微笑)
He was caught using a fake passport at the airport.
(他在機場因使用偽造護照被抓。)
It's hard to tell if this diamond is real or fake.
(很難判斷這顆鑽石是真的還是假的。)"
familiar,"familiar(adj.)熟悉的
詞性變化：familiarity(n.)熟悉
搭配詞：be familiar with (熟悉...)
搭配詞：look familiar (看起來很面熟)
Your face looks very familiar to me, but I can't remember your name.
(你的臉對我來說看起來非常面熟，但我記不起你的名字。)
Are you familiar with the rules of the game?
(你熟悉遊戲規則嗎？)"
fancy,"fancy(adj./n./v.)精緻的、幻想、想要
詞性變化：無
搭配詞：fancy restaurant (高級餐廳)
搭配詞：take a fancy to (愛上、喜歡)
They went to a fancy restaurant to celebrate their anniversary.
(他們去了一家高級餐廳慶祝週年紀念。)
Do you fancy a cup of tea?
(你想喝杯茶嗎？)"
fare,"fare(n.)車費、票價
詞性變化：無
搭配詞：bus fare (公車費)
搭配詞：air fare (機票費)
How much is the train fare from Taipei to Kaohsiung?
(從台北到高雄的火車票價是多少？)
The taxi fare was much more expensive than I expected.
(計程車費比我預想的要貴得多。)"
farther,"farther(adv./adj.)更遠地(的)
詞性變化：far(adj.)遠的
搭配詞：walk farther (走得更遠)
搭配詞：farther away (更遠處)
I was so tired that I couldn't walk any farther.
(我太累了，走不動了。)
The house is farther down the road than we thought.
(那棟房子在路的更深處，比我們想像的要遠。)"
fashionable,"fashionable(adj.)時髦的、流行的
詞性變化：fashion(n.)時尚
搭配詞：fashionable clothes (時髦的衣服)
搭配詞：highly fashionable (非常流行)
It is currently fashionable to wear oversized clothes.
(目前流行穿寬鬆大尺寸的衣服。)
She always wears fashionable outfits to work.
(她上班總是穿著時髦的服裝。)"
faucet,"faucet(n.)水龍頭
詞性變化：無
搭配詞：turn on/off the faucet (打開/關掉水龍頭)
搭配詞：leaky faucet (漏水的水龍頭)
Please make sure to turn off the faucet after washing your hands.
(洗完手後請務必關掉水龍頭。)
The sound of the leaky faucet kept me awake all night.
(漏水龍頭的聲音讓我整晚睡不著。)"
fearful,"fearful(adj.)害怕的、擔心的
詞性變化：fear(n./v.)恐懼
搭配詞：be fearful of (害怕...)
搭配詞：fearful consequences (可怕的後果)
Many people are fearful of the changes the new technology might bring.
(許多人害怕新技術可能帶來的改變。)
She was fearful for her son's safety during the storm.
(暴風雨期間，她擔心兒子的安全。)"
feather,"feather(n.)羽毛
詞性變化：無
搭配詞：bird's feathers (鳥的羽毛)
搭配詞：light as a feather (輕如羽毛)
Birds use their feathers to keep warm and to fly.
(鳥類利用羽毛來保暖和飛行。)
The pillow is filled with soft goose feathers.
(這個枕頭充填了柔軟的鵝毛。)"
fence,"fence(n./v.)籬笆、柵欄
詞性變化：無
搭配詞：garden fence (花園籬笆)
搭配詞：sit on the fence (猶豫不決、持觀望態度)
They built a wooden fence around their backyard.
(他們在後院周圍建了一個木柵欄。)
He is still sitting on the fence about which job offer to accept.
(他對於要接受哪一份工作邀約仍持觀望態度。)"
fighter,"fighter(n.)戰士、奮鬥者、戰鬥機
詞性變化：fight(v./n.)戰鬥
搭配詞：fire fighter (消防員)
搭配詞：brave fighter (勇敢的戰士)
He is known as a great fighter for social justice.
(他被公認為社會正義的偉大奮鬥者。)
Two fighter jets were seen flying over the city.
(有人看到兩架戰鬥機飛過城市上空。)"
firework,"firework(n.)煙火
詞性變化：無
搭配詞：set off fireworks (施放煙火)
搭配詞：firework display (煙火表演)
We stayed up late to watch the New Year's Eve firework display.
(我們熬夜觀看跨年夜的煙火表演。)
It is traditional to set off fireworks during the Spring Festival.
(春節期間施放煙火是傳統。)"
fist,"fist(n./v.)拳頭
詞性變化：無
搭配詞：clench one's fist (握緊拳頭)
搭配詞：shake one's fist (揮舞拳頭)
He clenched his fist in anger when he heard the news.
(聽到消息時，他憤怒地握緊了拳頭。)
She hit the table with her fist to get everyone's attention.
(她用拳頭擊打桌子以吸引大家的注意。)"
