observe,"observe(v.) 觀察、遵守
observation(n.) 觀察；observance(n.) 遵守
observer(n.) 觀察員
keenly observe 敏銳地觀察
observe the rules 遵守規則
Scientists observe the behavior of animals in the wild.
(科學家在野外觀察動物的行為)
We must observe the traffic laws to stay safe.
(我們必須遵守交通規則以保持安全)"
occasion,"occasion(n.) 場合、重大活動
occasional(adj.) 偶爾的；occasionally(adv.) 偶爾地
on special occasions 在特殊場合
a rare occasion 罕見的機會
I only wear a tie on special occasions.
(我只在特殊場合繫領帶)
We met on several occasions to discuss the plan.
(我們見面了好幾次來討論這個計劃)"
odd,"odd(adj.) 奇怪的、奇數的
odds(n.) 勝算、可能性
odd numbers 奇數
it is odd that... ...很奇怪
He has some odd habits that I can't understand.
(他有一些我無法理解的怪習慣)
It's odd that he didn't call me yesterday.
(很奇怪，他昨天竟然沒打電話給我)"
omit,"omit(v.) 省略、遺漏
omission(n.) 省略、遺漏物
omit a detail 省略細節
be omitted from 被從...中省略
Please don't omit any important information.
(請不要遺漏任何重要信息)
His name was omitted from the guest list.
(他的名字從賓客名單中被漏掉了)"
ongoing,"ongoing(adj.) 進行中的、持續的
an ongoing process 進行中的過程
ongoing efforts 持續的努力
There is an ongoing investigation into the accident.
(針對該事故的調查正在進行中)
The project requires ongoing maintenance and support.
(該項目需要持續的維護和支持)"
onion,"onion(n.) 洋蔥
chop onions 切洋蔥
raw onions 生洋蔥
She is chopping onions for the salad.
(她正在為沙拉切洋蔥)
I don't like the taste of raw onions.
(我不喜歡生洋蔥的味道)"
operation,"operation(n.) 手術、運作
operate(v.) 操作、動手術；operator(n.) 操作員
come into operation 開始生效
undergo an operation 接受手術
The machine is now in full operation.
(機器現在正全力運作中)
He had a minor operation on his knee.
(他的膝蓋動了一個小手術)"
opportunity,"opportunity(n.) 機會
a rare opportunity 難得的機會
grab an opportunity 抓住機會
Don't miss the opportunity to study abroad.
(不要錯過出國留學的機會)
He had the opportunity to meet the president.
(他有機會見到總統)"
opposite,"opposite(adj./n./prep./adv.) 相反的、對面
the exact opposite 完全相反
be opposite to 與...相反
They have completely opposite opinions on the matter.
(他們對這件事的看法完全相反)
The bank is just opposite the supermarket.
(銀行就在超市的正對面)"
optimistic,"optimistic(adj.) 樂觀的
optimism(n.) 樂觀主義；optimist(n.) 樂觀的人
be optimistic about 對...感到樂觀
remain optimistic 保持樂觀
She is optimistic about her chances of winning.
(她對自己獲勝的機會感到樂觀)
We should remain optimistic despite the challenges.
(儘管面臨挑戰，我們仍應保持樂觀)"
oral,"oral(adj./n.) 口頭的、口試
orally(adv.) 口頭地
an oral exam 口試
oral hygiene 口腔衛生
Students have to take an oral test next week.
(學生們下週必須參加口試)
Good oral hygiene is important for your health.
(良好的口腔衛生對你的健康很重要)"
organic,"organic(adj.) 有機的、器官的
organically(adv.) 有機地
organic food 有機食物
organic farming 有機耕作
More and more people prefer to buy organic vegetables.
(越來越多的人更喜歡購買有機蔬菜)
Organic farming is better for the environment.
(有機耕作對環境更好)"
organize,"organize(v.) 組織、安排
organization(n.) 組織；organizer(n.) 組織者
organize a meeting 組織會議
well organized 組織良好的
She helped organize the school event.
(她幫忙籌劃學校活動)
The files are organized in alphabetical order.
(文件按字母順序排列)"
original,"original(adj./n.) 最初的、原件
originally(adv.) 起初；originality(n.) 創意
original copy 原件
original idea 最初的想法
This is the original version of the book.
(這是該書的最初版本)
The original painting is kept in the museum.
(原畫保存在博物館裡)"
outdoor,"outdoor(adj.) 戶外的
outdoors(adv.) 在戶外
outdoor activities 戶外活動
outdoor concert 戶外音樂會
He enjoys outdoor activities like hiking and cycling.
(他喜歡健行和騎自行車等戶外活動)
We are planning an outdoor party this weekend.
(我們計劃本週末舉辦一場戶外派對)"
outdoors,"outdoors(adv.) 在戶外
play outdoors 在戶外玩耍
sleep outdoors 在戶外睡覺
Children should spend more time playing outdoors.
(孩子們應該花更多時間在戶外玩耍)
It's a beautiful day; let's go outdoors.
(天氣很好，我們去戶外吧)"
outer,"outer(adj.) 外部的、外層的
outer space 外太空
outer shell 外殼
The rocket was launched into outer space.
(火箭被發射到外太空)
He wore an outer layer of warm clothing.
(他穿了一層保暖的外衣)"
outline,"outline(n./v.) 大綱、輪廓、概述
a brief outline 簡短的大綱
outline a plan 概述計劃
She wrote a brief outline of her speech.
(她寫了一份演講的簡短大綱)
The mountain was clearly outlined against the sky.
(天空映襯出山的清晰輪廓)"
oven,"oven(n.) 烤箱
preheat the oven 預熱烤箱
bake in the oven 在烤箱中烘烤
Place the cake in the preheated oven.
(將蛋糕放入預熱好的烤箱中)
Be careful, the oven is still very hot.
(小心，烤箱還是很燙)"
overseas,"overseas(adv./adj.) 在海外、海外的
study overseas 在國外學習
overseas students 海外學生
Many students dream of studying overseas.
(許多學生夢想出國留學)
The company is expanding its overseas market.
(公司正在擴大其海外市場)"
owe,"owe(v.) 欠債、歸功於
owe someone money 欠某人錢
owe success to... 將成功歸功於...
I owe him ten dollars for lunch.
(我欠他十美元的午餐費)
He owes his success to hard work and luck.
(他將自己的成功歸功於努力和運氣)"
owl,"owl(n.) 貓頭鷹
a night owl 熬夜的人
hoot like an owl 像貓頭鷹一樣鳴叫
Owls are birds that hunt at night.
(貓頭鷹是夜間捕食的鳥類)
I am a night owl and prefer to work late.
(我是個熬夜的人，喜歡工作到很晚)"
ownership,"ownership(n.) 所有權
owner(n.) 所有人；own(v./adj.) 擁有/自己的
private ownership 私有制
transfer of ownership 所有權轉移
The house is under private ownership.
(這棟房子是私有的)
The company is debating its ownership structure.
(公司正在討論其所有權結構)"
ox,"ox(n.) 公牛
strong as an ox 強壯如牛
a team of oxen 一隊公牛
The farmer used oxen to plow the field.
(農民用公牛來犁地)
He is as strong as an ox.
(他像牛一樣強壯)"
pad,"pad(n./v.) 墊子、護具、填補
knee pads 護膝
a notepad 筆記本
You should wear knee pads when skating.
(溜冰時你應該戴護膝)
He wrote the number down on a notepad.
(他把號碼寫在筆記本上)"
painter,"painter(n.) 畫家、油漆工
paint(v./n.) 繪畫/油漆；painting(n.) 畫作
a famous painter 著名的畫家
a house painter 油漆匠
Picasso was a very famous painter.
(畢卡索是一位非常著名的畫家)
The painter is painting the walls white.
(油漆工正在把牆漆成白色)"
pal,"pal(n.) 好朋友、夥伴
pen pal 筆友
best pal 最好的朋友
We have been pals since primary school.
(我們從小學起就是好朋友了)
I still write letters to my pen pal in London.
(我仍寫信給我在倫敦的筆友)"
palace,"palace(n.) 宮殿
royal palace 皇宮
Buckingham Palace 白金漢宮
The queen lives in the royal palace.
(女王住在皇宮裡)
Thousands of tourists visit the palace every year.
(每年有成千上萬的遊客參觀這座宮殿)"
palm,"palm(n.) 手掌、棕櫚樹
palm tree 棕櫚樹
read someone's palm 看手相
He held the tiny bird in his palm.
(他把那隻小鳥捧在手心裡)
The beach was lined with tall palm trees.
(海灘上排滿了高大的棕櫚樹)"
pancake,"pancake(n.) 煎餅、薄餅
make pancakes 做煎餅
a stack of pancakes 一疊煎餅
We had pancakes with maple syrup for breakfast.
(我們早餐吃了配楓糖漿的煎餅)
She is flipping pancakes in the pan.
(她正在平底鍋裡翻煎餅)"
panic,"panic(n./v.) 恐慌
spread panic 散播恐慌
panic buying 恐慌性購買
The loud noise caused a sudden panic in the crowd.
(巨大的噪音引起了群眾的突然恐慌)
Don't panic; everything will be fine.
(別驚慌，一切都會好起來的)"
parade,"parade(n./v.) 遊行
a victory parade 勝利遊行
march in a parade 參加遊行遊街
There will be a grand parade on National Day.
(國慶節將有盛大的遊行)
Thousands of people lined the streets for the parade.
(成千上萬的人站在街道兩旁觀看遊行)"
paradise,"paradise(n.) 天堂、樂園
a tropical paradise 熱帶天堂
a shopper's paradise 購物者的天堂
This beautiful island is a tropical paradise.
(這座美麗的小島是個熱帶天堂)
To him, the quiet library was paradise.
(對他來說，安靜的圖書館就是天堂)"
parcel,"parcel(n./v.) 包裹、郵包
send a parcel 寄包裹
deliver a parcel 送包裹
The postman delivered a heavy parcel this morning.
(郵差今天早上送來了一個沉重的包裹)
I need to go to the post office to send this parcel.
(我需要去郵局寄這個包裹)"
parrot,"parrot(n./v.) 鸚鵡、機械地模仿
a colorful parrot 色彩鮮豔的鸚鵡
parrot someone's words 鸚鵡學舌
The parrot can mimic human speech.
(這隻鸚鵡會模仿人類說話)
Don't just parrot what the teacher says.
(不要只是機械地模仿老師說的話)"
