cabin,"cabin(n.)小木屋、機艙、船艙
log cabin 原木小木屋
cabin crew 機組人員
We stayed in a cozy log cabin in the mountains during our vacation.
(假期期間我們住在山中一間舒適的原木小木屋裡。)
The cabin crew is responsible for the safety and comfort of the passengers.
(機組人員負責乘客的安全與舒適。)"
cable,"cable(n./v.)電纜、電報、有線電視
cable TV 有線電視
undersea cable 海底電纜
Most households in the city have access to cable TV.
(這座城市的大多數家庭都能收看有線電視。)
They used a thick steel cable to tow the broken-down car.
(他們使用一條粗鋼纜來拖動故障的汽車。)"
cafeteria,"cafeteria(n.)自助餐廳、食堂
school cafeteria 學校餐廳
staff cafeteria 員工食堂
I usually have my lunch with my coworkers in the company cafeteria.
(我通常和同事在公司的員工餐廳吃午餐。)
The school cafeteria offers a variety of healthy meal options.
(學校餐廳提供多種健康的餐飲選擇。)"
campus,"campus(n.)校園
on campus 在校園內
off campus 在校外
It is common for freshmen to live in dormitories on campus.
(大一新生住在校園內的宿舍是很常見的。)
The university campus is famous for its beautiful cherry blossoms.
(這所大學的校園以其美麗的櫻花而聞名。)"
canyon,"canyon(n.)峽谷
the Grand Canyon 大峽谷
deep canyon 深邃的峽谷
The river has carved a deep canyon through the mountains over millions of years.
(數百萬年來，這條河流在山中刻畫出了一道深邃的峽谷。)
We hiked down to the bottom of the canyon to see the river.
(我們徒步走到峽谷底部去看那條河。)"
capable,"capable(adj.)有能力的、有才幹的
capability(n.)能力
capably(adv.)能幹地
be capable of + Ving 有能力做某事
a capable leader 一位能幹的領導者
She is a very capable nurse who can handle any emergency.
(她是一位非常能幹的護士，能處理任何緊急情況。)
This software is capable of processing large amounts of data quickly.
(這款軟體有能力快速處理大量數據。)"
captain,"captain(n.)隊長、機長、船長
team captain 隊長
ship captain 船長
The captain of the football team led his players to victory.
(足球隊隊長帶領他的隊員贏得了勝利。)
The pilot and the captain are responsible for the safety of the flight.
(機長和副機長負責飛行安全。)"
capture,"capture(v./n.)捕獲、獲得、拍攝、吸引
capture one's attention 吸引某人的注意
capture the moment 捕捉瞬間
The police managed to capture the thief after a long chase.
(經過長時間的追逐，警方終於成功抓獲了小偷。)
The photographer tried to capture the beauty of the sunset.
(攝影師試圖捕捉日落的美景。)"
career,"career(n.)職業、生涯
career path 職業生涯路徑
professional career 職業生涯
She decided to pursue a career in medicine after graduating from high school.
(高中畢業後，她決定從事醫學事業。)
He has had a long and successful career as a journalist.
(身為一名記者，他擁有漫長而成功的職業生涯。)"
carpenter,"carpenter(n.)木匠
master carpenter 木工大師
carpentry(n.)木工、木器業
We hired a carpenter to build some new bookshelves for the library.
(我們雇了一位木匠為圖書館做一些新的書架。)
The carpenter used his tools to repair the broken wooden chair.
(木匠用他的工具修理損壞的木椅。)"
