background,"background(n.) 背景、經歷
(無明顯詞性變化)
family background 家庭背景
in the background 在背景中
He has a background in computer science.
(他有電腦科學的背景。)
The mountains are visible in the background.
(遠處背景中的山脈清晰可見。)"
bacon,"bacon(n.) 培根、燻豬肉
(無明顯詞性變化)
eggs and bacon 培根蛋
bring home the bacon 養家糊口
I had some crispy bacon for breakfast.
(我早餐吃了一些脆培根。)
He is working hard to bring home the bacon.
(他努力工作以養家糊口。)"
bacteria,"bacteria(n.) 細菌 (複數)
bacterium(n. 單數)
harmful bacteria 有害細菌
kill bacteria 殺菌
Some bacteria can cause serious diseases.
(有些細菌會導致嚴重的疾病。)
Wash your hands to remove bacteria.
(洗手以去除細菌。)"
badly,"badly(adv.) 拙劣地、非常、嚴重地
bad(adj.) 壞的
badly hurt 嚴重受傷
need something badly 迫切需要某物
The team played badly in the second half.
(該隊在下半場表現不佳。)
He was badly injured in the car accident.
(他在車禍中受了重傷。)"
baggage,"baggage(n.) 行李
(無明顯詞性變化)
excess baggage 超重行李
check in baggage 辦理行李託運
You should label your baggage clearly.
(你應該清楚地在行李上貼標籤。)
How many pieces of baggage do you have?
(你有幾件行李？)"
bait,"bait(n./v.) 餌、誘惑；裝餌、引誘
(無明顯詞性變化)
fish bait 魚餌
take the bait 上當、吞下誘餌
He used a worm as bait to catch the fish.
(他用蟲當餌來捉魚。)
The police used a trap to bait the criminal.
(警察用陷阱來誘捕罪犯。)"
bamboo,"bamboo(n.) 竹子
(無明顯詞性變化)
bamboo forest 竹林
bamboo shoot 竹筍
Pandas mainly eat bamboo.
(貓熊主要吃竹子。)
This floor is made of bamboo.
(這個地板是竹子做的。)"
bang,"bang(n./v.) 砰然一響、重擊；發出砰然聲、砰地敲
(無明顯詞性變化)
a loud bang 巨大的砰然聲
bang on the door 砰砰敲門
The door shut with a loud bang.
(門砰的一聲關上了。)
Stop banging on the table!
(不要再敲桌子了！)"
banker,"banker(n.) 銀行家
bank(n.) 銀行
investment banker 投資銀行家
successful banker 成功的銀行家
My uncle is a successful investment banker.
(我的叔叔是一位成功的投資銀行家。)
The banker approved his loan application.
(銀行家批准了他的貸款申請。)"
bare,"bare(adj./v.) 赤裸的、稀少的；暴露、揭開
barely(adv.) 幾乎不
bare feet 赤腳
with one's bare hands 徒手
Don't walk on the cold floor with bare feet.
(不要赤腳走在冷冰冰的地板上。)
He managed to kill the wolf with his bare hands.
(他設法徒手殺死了那隻狼。)"
barely,"barely(adv.) 幾乎不、僅僅
bare(adj.) 赤裸的
barely enough 僅夠
barely escape 險些逃脫
I could barely hear what she was saying.
(我幾乎聽不到她在說什麼。)
They had barely enough food to survive.
(他們的食物僅夠生存。)"
barn,"barn(n.) 穀倉、馬廄
(無明顯詞性變化)
red barn 紅穀倉
store hay in a barn 在穀倉存放乾草
The farmer kept his cows in the barn.
(農民把他的牛關在穀倉裡。)
We found a stray cat in the barn.
(我們在穀倉裡發現了一隻流浪貓。)"
barrel,"barrel(n.) 大桶、槍管
(無明顯詞性變化)
a barrel of oil 一桶原油
beer barrel 啤酒桶
The wine is aged in oak barrels.
(葡萄酒在橡木桶中陳釀。)
They exported thousands of barrels of oil daily.
(他們每天出口數千桶原油。)"
basement,"basement(n.) 地下室
(無明顯詞性變化)
damp basement 潮濕的地下室
store things in the basement 在地下室存放東西
Our laundry room is in the basement.
(我們的洗衣房在地下室。)
The building has two floors of parking in the basement.
(這棟大樓地下室有兩層停車場。)"
